Category,Brand Name,Model Name,Description,Material,Care,Page URL,Title,Meta description,Meta keywords
Men/Shoes/Running,Under Armour,Charged Bandit Trail GTX - Men's,"For performance apparel that goes the distance, look to Under Armour. Launched in 1996 by former University of Maryland football player Kevin Plank, Under Armour engineers sportswear, footwear and accessories that keep professional and amateur athletes alike cool, comfortable and light on their feet while working up a sweat. - Woven GORE-TEXВ® upper; lightweight, breathable, and waterproof- Black base, grey, and neon pink accents- Lace-up front - Targeted TPU film to upper for added durability - Moulded Comfort Collar; firm and comfortable support- Soft EVA sockliner; high energy-return cushioning for a responsive feel - Dual-layer Charged CushioningВ® midsole; targeted cushioning across the whole sole - High-abrasion rubber traction outsole for all-terrain grip - Ergonomic flex grooves","Inner: Synthetic
Sole: Rubber
Upper: Synthetic",,https://www.theiconic.com.au/charged-bandit-trail-gtx-men-s-834334.html,Charged Bandit Trail GTX - Men's by Under Armour Online | THE ICONIC | Australia,Buy Charged Bandit Trail GTX - Men's by Under Armour online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Charged Bandit Trail GTX - Men's, Under Armour, Shoes, Running, Performance Shoes"
unisex/Shoes/Sneakers,adidas Originals,Stan Smith - Unisex,"Cool, classic and clean, the adidas Originals Stan Smith sneakers have a soft, premium leather upper and perforated 3-Stripes on the sides. A contrast heel counter lends a pop of colour to this minimalist pair. - Genuine leather upper- Seven-eye lace-up front- Rounded toe- Perforated 3-Stripes on the sides- Visa terry sockliner- Contrast heel tab- Endorsed by former world No.1 tennis player, Stan Smith","Inner: Synthetic
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/stan-smith-unisex-341862.html,Stan Smith - Unisex by adidas Originals Online | THE ICONIC | Australia,Buy Stan Smith - Unisex by adidas Originals online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Stan Smith - Unisex, adidas Originals, Shoes, Sneakers, Low-Tops"
unisex/Shoes/Sneakers,Veja,V-10 Unisex,"Crafted from genuine leather and made with innovative technologies, the V-10 sneakers are the exquisite result of Veja's 10th anniversary, one decade of more sustainable designs. - Genuine leather upper - White shade- Round toe; micro-perforations- Lace-up fastening - Logo V on the sides - Brand's name detail on the heel encounter - Organic cotton inner - Wild rubber outsole - Made in Brazil","Inner: Textile
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/v-10-unisex-465871.html,V-10 Unisex by Veja Online | THE ICONIC | Australia,Buy V-10 Unisex by Veja online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"V-10 Unisex, Veja, Shoes, Sneakers, Low-Tops"
Men/Shoes/Boots,R.M.Williams,Comfort Craftsman Boots,"Exquisitely constructed at R.M. WilliamsвЂ™ Adelaide factory, the Comfort Craftsman Boots boast advanced features including a comfort insole, padded heel lining and a durable microfibre sock-lining with moisture wicking technology. This premium leather pair also showcase an airport-friendly shank that supports the arch whilst reinforcing the sleek silhouette. Style these timeless boots with everything from chinos to relaxed denim for an elevated smart-casual appeal. - Genuine leather upper and lining - Standard G fitting- Chisel squared toe - Black shade - Double branded tugs - Elastic side gussets - Padded heel lining - Microfibre sock lining - Non-slip sole- Comfort insole- Made in Australia","Inner: Leather
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/comfort-craftsman-boots-509880.html,Comfort Craftsman Boots by R.M.Williams Online | THE ICONIC | Australia,Buy Comfort Craftsman Boots by R.M.Williams online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Comfort Craftsman Boots, R.M.Williams, Shoes, Boots, Chelsea Boots"
unisex/Shoes/Sneakers,Converse,Chuck Taylor All Star Hi,"PLEASE NOTE - Converse shoes are in US men's sizing. M6/W8 equates to a men's AU size 6/women's AU size 8. To ensure the correct fit, please refer to the size & fit info below. The most iconic sneaker in the world, the Converse Chuck Taylor All Star Hi sneakers have an instantly recognisable high top silhouette, a vulcanised rubber sole, and a star-centred ankle patch. The unisex style will work with anything from denim shorts and chinos to summer dresses. - Canvas upper- High top silhouette- Star-centred Chuck Taylor ankle patch on the inner side- Eight-eye lace-up design- Rubber toecap- Vulcanised rubber sole","Inner: Textile & Rubber
Sole: Rubber
Upper: Textile","MenвЂ™s: Converse shoes are in US men's sizing, which is the same as standard AU men's sizing. For example if you are an AU size 9, please order a size M9.В WomenвЂ™s: Converse shoes are in US men's sizing. For the correct fit please select your size from the W in the drop-down above. For example if you are an AU size 7, please order a size W7.",https://www.theiconic.com.au/chuck-taylor-all-star-hi-184175.html,Chuck Taylor All Star Hi by Converse Online | THE ICONIC | Australia,Buy Chuck Taylor All Star Hi by Converse online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Chuck Taylor All Star Hi, Converse, Shoes, Sneakers, Hi-Tops"
unisex/Shoes/Sneakers,adidas Originals,Superstar - Unisex,"Debuting in 1969, the adidas Originals Superstar sneakers were the first all-leather, low basketball shoes. A faithful reproduction of the style, this streetwear staple has a smooth leather upper, 3-Stripe detailing and an iconic shell toe. - Genuine leather upper- Leather-look 3-Stripes - Seven-eye lace-up design- Rounded, iconic shell toe- Trefoil logo on the tongue and heel counter; gold-toned lettering- Rubber cupsole","Inner: Textile
Sole: Rubber
Upper: Genuine Leather",,https://www.theiconic.com.au/superstar-unisex-188751.html,Superstar - Unisex by adidas Originals Online | THE ICONIC | Australia,Buy Superstar - Unisex by adidas Originals online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Superstar - Unisex, adidas Originals, Shoes, Sneakers, Low-Tops"
Men/Shoes/Running,Nike,Epic React Flyknit 2 - Men's,"Expertly designed with a lightweight and breathable Flyknit upper, the Nike Epic React Flyknit 2 running shoes offer superior cushioning and bounce with their React foam midsole. - Lightweight and supportive Flyknit upper - Black with white contrast - Lace-up design; Flywire cables secure the midfoot for added support - Rubberised Swoosh to sides - Contoured low-cut collar for snug fit - Heel pull tab with epic react print - Nike React foam midsole for cushioning and bounce - Moulded heel for secure feel - Rubber traction pattern to forefoot and heel for durability","Inner: Synthetic
Sole: Synthetic
Upper: Synthetic",,https://www.theiconic.com.au/epic-react-flyknit-2-men-s-920152.html,Epic React Flyknit 2 - Men's by Nike Online | THE ICONIC | Australia,Buy Epic React Flyknit 2 - Men's by Nike online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Epic React Flyknit 2 - Men's, Nike, Shoes, Running, Performance Shoes"
Men/Shoes/Boots,Windsor Smith,Keaton,"Delivering sleek, wearable simplicity, Windsor Smith shoes offer affordable, on-trend style without compromising on quality. Look to the Melbourne-based label for classic Chelsea boots, summer sandals and eye-catching strappy sandals rendered in a timeless colour palette. - Genuine, suede-textured leather- Chocolate-brown shade; brass-toned hardware- Rounded toe- 5-eyelet, lace-up design- Stitched throat-line and heel cap- Heel tab- Wood grain-finished sole","Inner: Leather & textile
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/keaton-549592.html,Keaton by Windsor Smith Online | THE ICONIC | Australia,Buy Keaton by Windsor Smith online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Keaton, Windsor Smith, Shoes, Boots, Dress Shoes"
unisex/Shoes/Boots,Dr Martens,Vegan 1460 8 - Eye Boot - Unisex,"- Leather-look upper- Goodyear welted sole construction delivers exceptional durability, and is resistant to oil, fat, acid, petrol and alkali; air-cushioned honeycomb insulation technology creates a lightweight, anti-shock feel underfoot- Rounded toe- Th","Inner: Synthetic
Sole: Synthetic
Upper: Synthetic",,https://www.theiconic.com.au/vegan-1460-8-eye-boot-unisex-214187.html,Vegan 1460 8 - Eye Boot - Unisex by Dr Martens Online | THE ICONIC | Australia,Buy Vegan 1460 8 - Eye Boot - Unisex by Dr Martens online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Vegan 1460 8 - Eye Boot - Unisex, Dr Martens, Shoes, Boots, Lace-up Boots"
unisex/Shoes/Sandals,Birkenstock,Arizona Regular - Unisex,"PLEASE NOTE - THE ICONIC IS UNABLE TO SHIP THIS PRODUCT TO NEW ZEALAND The Arizona slides are an iconic symbol for the Birkenstock brand worldwide. A classic take on the style, the pair has a smooth, leather-look upper, and comes in a crisp white hue. - Birko-Florв„ў upper; leather-look texture with soft fleece lower layer; tear-resistant, kind to skin and easy to care for- Cloud white shade- Silver-toned buckle fastenings- Genuine suede insole- Anatomically moulded footbed- Natural cork outsole- Durable EVA sole PLEASE NOTE: Birkenstock shoe sizing runs large so we recommend buying one size down for a regular fit.","Inner: Leather & Natural Cork
Sole: EVA
Upper: Synthetic",,https://www.theiconic.com.au/arizona-regular-unisex-144026.html,Arizona Regular - Unisex by Birkenstock Online | THE ICONIC | Australia,Buy Arizona Regular - Unisex by Birkenstock online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Arizona Regular - Unisex, Birkenstock, Shoes, Sandals, Sandals"
